what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326816328567
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326816332902
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326816333433
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326816334122
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326816335616
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326816351220
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326816351703
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326816356983
activated,editor,dclsuite,1.0.0.201201171054,"dclsuite.editor.DCLEditor",1326816358896
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1326816359399
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1326816359950
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1326816361582
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1326816365094
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1326816365414
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1326816367359
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1326816367591
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1326816377422
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1326816377671
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1326816377959
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1326816378175
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1326816378359
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1326816379535
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1326816379719
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1326816380558
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1326816381199
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1326816381479
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1326816381751
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1326816382080
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1326816387546
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1326816390419
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326816410894
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326816412431
activated,editor,dclsuite,1.0.0.201201171054,"dclsuite.editor.DCLEditor",1326816412440
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326816414807
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326816419975
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326816420422
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326816421865
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1326816422609
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1326816422879
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326816423950
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326816434769
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326816435739
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326816441027
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1326816441779
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1326816442040
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326816446010
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1326816448416
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326816448502
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1326816448679
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1326816449276
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1326816451909
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1326816452477
